time,mean_TRMM_3B42
2016-10-17,20.0569649
2016-10-18,63.7699165
2016-10-19,0.0131301833
2016-10-20,0.652065456
2016-10-21,29.5454559
2016-10-22,14.2491331
2016-10-23,4.09656954
2016-10-24,5.70006418
2016-10-25,26.3514271
2016-10-26,1.66073203
2016-10-27,0.15137732
2016-10-28,14.1029816
2016-10-29,14.16257
2016-10-30,3.0505805
2016-10-31,23.2661972
2016-11-01,10.2844629
2016-11-02,12.1568871
2016-11-03,6.3397789
2016-11-04,10.4186907
2016-11-05,22.7828369
2016-11-06,33.4452744
2016-11-07,13.8155289
2016-11-08,18.3467255
2016-11-09,2.85232186
2016-11-10,80.9465485
2016-11-11,14.803998
2016-11-12,12.6247559
2016-11-13,15.3482122
2016-11-14,39.3911247
2016-11-15,6.31926584
2016-11-16,8.4885416
2016-11-17,6.55843258
2016-11-18,8.63450432
2016-11-19,23.5381031
2016-11-20,3.66304874
2016-11-21,0
2016-11-22,0
2016-11-23,1.89511609
2016-11-24,2.42770624
2016-11-25,10.1326017
2016-11-26,2.09098148
2016-11-27,13.4906378
2016-11-28,2.04831457
2016-11-29,14.4989481
2016-11-30,10.8641882
2016-12-01,63.4128609
2016-12-02,42.7357178
2016-12-03,11.7041225
2016-12-04,16.6562843
2016-12-05,25.9981213
2016-12-06,6.91756392
2016-12-07,20.4185925
2016-12-08,18.1913605
2016-12-09,10.4003172
2016-12-10,12.5676689
2016-12-11,3.08738256
2016-12-12,6.17537832
2016-12-13,12.606658
2016-12-14,3.27199888
2016-12-15,11.3768749
2016-12-16,11.260107
2016-12-17,4.8986578
2016-12-18,0
2016-12-19,0.413784713
2016-12-20,24.2048855
2016-12-21,14.585434
2016-12-22,0.624576807
2016-12-23,2.20277715
2016-12-24,7.94493103
2016-12-25,35.8541336
2016-12-26,15.1027308
2016-12-27,35.0672646
2016-12-28,0.770552695
2016-12-29,4.64105701
2016-12-30,3.7281971
2016-12-31,14.65028
2017-01-01,2.40529323
2017-01-02,6.42895699
2017-01-03,5.93302584
2017-01-04,32.7273674
2017-01-05,33.0733147
2017-01-06,0.278331667
2017-01-07,15.6541805
2017-01-08,66.5852737
2017-01-09,34.2787437
2017-01-10,7.39719486
2017-01-11,11.960392
2017-01-12,19.1115665
2017-01-13,1.04164124
2017-01-14,14.7891016
2017-01-15,0.382730782
2017-01-16,0
2017-01-17,4.06239891
2017-01-18,2.55904317
2017-01-19,4.17143869
2017-01-20,2.68960142
2017-01-21,4.31413984
2017-01-22,0
2017-01-23,0
2017-01-24,0.22501488
2017-01-25,1.2553997
2017-01-26,0
2017-01-27,8.77618027
2017-01-28,24.0842228
2017-01-29,9.74170494
2017-01-30,9.7214632
2017-01-31,5.41225576
2017-02-01,16.9725323
2017-02-02,27.7757015
2017-02-03,1.04678082
2017-02-04,1.7588861
2017-02-05,1.76109576
2017-02-06,16.8536129
2017-02-07,2.73188448
2017-02-08,1.74473453
2017-02-09,34.2575874
2017-02-10,3.96875882
2017-02-11,4.78726435
2017-02-12,4.02333117
2017-02-13,3.42309356
2017-02-14,5.30513144
2017-02-15,0.188130736
2017-02-16,1.72653913
2017-02-17,5.04422903
2017-02-18,0
2017-02-19,0.385991752
2017-02-20,3.64499283
2017-02-21,2.22837615
2017-02-22,3.09858084
2017-02-23,1.34821069
2017-02-24,1.48581016
2017-02-25,12.1988287
2017-02-26,11.2140074
2017-02-27,31.0992622
2017-02-28,23.5807571
2017-03-01,16.1771736
2017-03-02,3.69940853
2017-03-03,17.6671562
2017-03-04,4.46433449
2017-03-05,13.314002
2017-03-06,64.7356644
2017-03-07,16.1320095
2017-03-08,34.575882
2017-03-09,3.53780413
2017-03-10,83.1322403
2017-03-11,5.03616381
2017-03-12,20.6954002
2017-03-13,3.72756362
2017-03-14,52.7083702
2017-03-15,10.9239092
2017-03-16,3.94582391
2017-03-17,19.0230007
2017-03-18,1.17698109
2017-03-19,7.85108089
2017-03-20,5.70072269
2017-03-21,6.19186974
2017-03-22,1.15641737
2017-03-23,21.0910778
2017-03-24,5.81864643
2017-03-25,2.39415312
2017-03-26,38.3519897
2017-03-27,0.825461984
2017-03-28,7.63078785
2017-03-29,10.175456
2017-03-30,35.3211327
2017-03-31,8.91269398
2017-04-01,1.24772263
2017-04-02,1.57466364
2017-04-03,6.50141096
2017-04-04,1.14300108
2017-04-05,12.2411528
2017-04-06,0.766773462
2017-04-07,5.26401854
2017-04-08,35.9743004
2017-04-09,25.44417
2017-04-10,3.60834026
2017-04-11,4.78106117
2017-04-12,3.07894087
2017-04-13,6.63922119
2017-04-14,67.8476944
2017-04-15,0.563424885
2017-04-16,10.0879965
2017-04-17,28.6426048
2017-04-18,11.7995586
2017-04-19,48.9821205
2017-04-20,61.1446075
2017-04-21,2.1170249
2017-04-22,1.19248092
2017-04-23,2.22495651
2017-04-24,39.4513664
2017-04-25,12.2405214
2017-04-26,21.0087185
2017-04-27,0.10621731
2017-04-28,6.6962738
2017-04-29,29.9357853
2017-04-30,16.6467648
2017-05-01,4.90287781
2017-05-02,14.7728148
2017-05-03,10.6972523
2017-05-04,15.4651022
2017-05-05,16.3626919
2017-05-06,32.0096931
2017-05-07,1.34328282
2017-05-08,23.6119862
2017-05-09,8.32445431
2017-05-10,11.2288485
2017-05-11,9.64710236
2017-05-12,5.58445501
2017-05-13,3.45561337
2017-05-14,19.6380177
